name,nl_name,en_name,gini,absoluut-gino,freedom,absoluut-inwoner-aantal,gemiddeld-ink,jobs-avail,werkloosheid,absoluut-werkloosheid,discrimi,corruption,
BG,Bulgarije,Bulgaria,14,34.2,31.42,7202198,324,0.7,14.37,1034596,89,43,
RO,Romenie,Romania,6,27.2,23.48,19861408,345,0.9,4.65,923059,78,43,
RS,Servie,Serbia,10,30,25.05,7000000,377,0.8,16.90,1183000,50,41,
LV,Letland,Latvia,16,36,21.1,1986096,379,0.4,8.45,167825,34,55,
LT,Litouwen,Lithuania,12.5,32.6,19.2,2921262,496,0.9,8.37,244378,43,58,
TR,Turkije,Turkey,20,40,45.87,77695904,510,0.8,7.01,5449202,26,45,
HU,Hongarije,Hungary,8,28.9,26.73,9849000,532,1.4,5.66,557601,83,54,
PL,Polen,Poland,12.5,32.8,11.03,38005614,634,0.5,6.51,2472835,52,61,
SK,Slowakije,Slovakia,5.5,26.5,11.39,5421349,664,0.9,9.97,540563,72,50,
CZ,Tsjechie,Czech Republic,5.5,26.4,10.07,10538275,725,1.2,4.56,480861,48,51,
ME,Montenegro,Montenegro,10.5,30.6,34.78,622099,726,0.8,12.25,76223,50,42,
HR,Croatie,Croatia,14,34.2,26.82,4225316,755,1,12.34,521277,61,48,
EE,Estland,Estonia,12.5,32.7,9.63,1313271,832,1.4,5.66,74351,32,69,
MT,Malta,Malta,7,28,23.84,429344,1006,3.1,4.06,17414,51,55,
SI,Slovenie,Slovenia,5,24.9,20.38,2062874,1023,1.3,7.52,155138,67,58,
PT,Portugal,Portugal,16,36.3,17.73,10374822,1056,0.6,10.56,1095841,88,63,
GR,Griekenland,Greece,15.5,35.7,31.33,10812467,1262,1,20.96,2265861,60,43,
ES,Spanje,Spain,16,36,20.63,46439864,1702,0.6,18.84,8750896,49,60,
IT,Italie,Italy,14.5,34.5,23.75,60795612,2030,0.6,13.52,8219567,61,43,
BE,Belgie,Belgium,7.5,28.4,12.8,11258434,2092,2.4,6.17,694477,78,76,
DE,Duitsland,Germany,10,30.1,10.23,81174000,2155,2.8,3.97,3223825,58,79,
NL,Nederland,Netherlands,7,28,6.46,16900726,2158,1.4,5.49,928272,73,83,
AT,Oostenrijk,Austria,10.5,30.8,10.01,8584926,2165,1.6,4.14,355459,57,72,
FR,Frankrijk,France,13,33.3,21.89,66352469,2183,0.6,7.44,4933970,77,69,
IE,Ierland,Ireland,13,33.3,10.87,4625885,2186,0.7,8.45,390887,66,74,
CY,Cyprus,Cyprus,12.5,32.6,29.54,847008,2223,1.2,11.83,100201,50,63,
UK,Verenigd Koninkrijk,United Kingdom,10,30,19.93,64767115,2233,2.3,3.72,2408041,85,78,
IS,IJsland,Iceland,6,27,8.5,329100,2334,1.6,3.30,10845,5,79,
DK,Denemarken,Denmark,8.5,29.5,7.43,5659715,2389,1.6,4.65,263035,50,92,
FI,Finland,Finland,6.5,27.6,6.4,5471753,2479,1.3,5.92,323654,77,89,
SE,Zweden,Sweden,6,27.2,8.98,9747355,2825,1.8,4.82,469481,85,87,
CH,Zwitserland,Switzerland,11.5,31.8,10.47,8236573,2930,1.2,2.87,236637,31,86,
LU,Luxenburg,Luxembourg,12.5,32.4,6.7,562958,3187,1,4.23,23785,49,82,
NO,Noorwegen,Norway,4.5,25.5,6.52,5165802,3850,2.6,2.37,122223,59,86,
LI,Liechtenstein,Liechtenstein,11.5,31.8,7.02,37369,5314,1.2,1.94,726,31,86,
BA,Bosnie,Bosnia,15,35,26.83,3829000,613,0.9,43,37869,50,39,
MK,Macedonie,Macedonia,23,43,36.43,2017000,522,1.4,28,12989,61,45,
AL,Albanie,Albania,9,29,29.92,2774000,382,0.8,17,10846,50,33,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
